Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
MB-0006,-0.8328729,-0.17203693,0.38675067,-0.226188,-0.14366764,0.4831313,-0.16093868,0.111142114,-0.096383244,0.055857323,0.5021858,0.25311664,-0.337428,0.8424443,0.5561065,-0.11992341,-0.23444876,-0.4199698,-0.27409515,-0.8467418,0.21974695,-0.20619933,-0.19141024,-0.122386724,-0.39177516,0.8111477,0.2507488,-0.5665261,-0.049194254,0.2786667,0.31032285,0.4268652,-0.44812977,0.7201503,0.3865537,0.18889362,-0.3535683,0.21972981,-0.5075735,0.6351074,0.14316699,-0.8879452,-0.49667314,0.12756124,-0.5544404,-0.17076851,0.4560242,0.3259325,-0.14345391,0.65681875,0.03960517,0.746296,0.090789355,0.00858362,-0.59217036,-0.4922386,0.44327262,-0.3851859,0.15974319,-0.6058444,-0.68049735,-0.033147052,-0.2516341,0.10846014,0.059363395,0.49364486,0.3099122,-0.25880814,-0.36639705,-0.49515516,0.49886808,-0.6362834,-0.26222298,-0.09590305,-0.17129575,0.5966487,0.27060193,-0.17509864,-0.4347214,0.07647174,0.6302306,-0.15333432,0.25426018,0.5908239,-0.4890877,0.43354744,0.45080596,-0.28901663,-0.17671143,0.3217867,0.5550734,0.336823,-0.11725149,0.3919196,0.7419902,0.009530745,0.5313748,-0.17217594,-0.19267783,-0.2728059
MB-0028,-0.13208032,-0.21269277,-0.39597738,-0.37630093,-0.3423063,0.1278733,-0.36987993,-0.009362802,-0.13035399,0.23310906,-0.34806535,-0.2465647,-0.069730505,0.6769696,0.36190668,-0.6754157,0.6360722,-0.57122135,0.066140205,0.6125442,0.7688589,0.093790755,-0.27655324,-0.09328177,-0.2600408,0.21343684,-0.44562122,0.14948422,-0.4887023,-0.30954307,-0.043697596,0.47643483,0.17624563,0.40130028,-0.07999121,-0.5586382,0.42485923,0.0905169,0.22562212,0.22380051,-0.7070847,-0.06879392,0.4836065,0.27604064,0.057268534,-0.68126005,-0.2149846,-0.31203377,0.68226564,0.75850904,0.0771649,-0.10421927,0.2599339,0.6497139,0.25204414,0.35373744,0.252334,0.3489108,0.15495068,-0.35249913,-0.4828808,0.578688,-0.3071456,-0.51815665,0.102612935,0.15135731,-0.46065778,-0.050825454,0.4368177,-0.14176282,0.541234,-0.15726954,0.6711988,-0.55528337,-0.7881228,-0.39986056,-0.28740096,-0.411676,0.17355743,-0.5052459,0.61144567,0.044077106,0.07282728,-0.08611147,0.1671273,0.41562054,-0.07314859,0.6152433,-0.120012,-0.009377688,0.33786824,-0.7201459,0.23865108,-0.65583426,0.31366414,0.22756884,-0.22812936,0.3233976,0.50046915,-0.19233678
MB-0035,-0.55063313,-0.7125026,0.2683153,-0.2756594,-0.2846488,0.27077654,-0.6624789,0.5479512,0.6502537,0.43366903,0.32083827,0.33330742,-0.15378581,-0.1670542,-0.86207426,-0.28580523,0.3495496,-0.004927933,-0.50514036,0.31002265,-0.044565473,0.3490037,0.13435712,0.16427818,0.085724354,0.07421149,-0.7570915,0.4294917,0.5457028,-0.22571899,-0.08914283,0.03856208,-0.33635694,0.46448672,0.050579093,0.5361301,0.055558644,-0.35041898,-0.27011916,0.35800534,-0.19378889,-0.5729393,-0.10061857,-0.46653736,0.067165725,-0.13637117,0.10260689,-0.33490294,-0.6270211,-0.2693568,-0.5060705,-0.17468363,-0.15405402,-0.037174538,0.67706466,0.27232537,0.22699495,0.39842626,-0.029455848,-0.5373334,0.051500518,0.15545207,-0.33682337,-0.45538807,-0.14311543,0.6776686,-0.11122261,0.016510371,-0.7046209,-0.036915116,-0.19398491,0.51386845,-0.5582424,-0.7863148,-0.55953103,-0.24798857,-0.47940248,0.71700317,0.0015506744,-0.51037395,-0.048998043,-0.5976825,-0.27005827,-0.32570624,0.23310807,0.12339432,0.15307485,-0.47952586,0.48818362,0.13569227,0.38788417,-0.692708,-0.5150725,-0.38779506,0.8170528,0.32692498,-0.022685401,-0.241835,-0.026091754,-0.30739206
MB-0046,-0.3136338,-0.32368085,0.067852646,-0.5058323,-0.5175964,-0.1379294,0.1643297,-0.61016756,0.30794328,0.3855089,-0.109255075,-0.6412722,-0.12788305,-0.4378636,0.13504666,0.15417612,-0.22126493,-0.06355396,0.30850258,0.08280926,0.32596672,-0.017315894,-0.25486222,-0.10502198,-0.20133698,-0.13152643,-0.25576544,-0.17297699,-0.016130015,-0.20236428,0.66047,-0.04158684,-0.7534507,0.29822767,-0.1741614,0.16098116,0.646654,0.65600926,0.35636878,0.3832078,-0.5675774,-0.3061255,0.30348855,-0.17821687,0.045692552,-0.2597599,-0.28451824,-0.30274433,0.5594207,-0.356148,-0.19653365,-0.4642641,0.66879666,0.18545799,0.16980207,0.054393284,0.20565161,-0.03815705,-0.4756398,-0.098890245,0.06784134,0.043519065,-0.20108077,-0.31179094,0.51728064,0.56874657,-0.15777831,0.2368899,0.024210796,0.08058624,0.16205055,0.26466182,-0.07474668,-0.38445365,0.28314376,0.10005755,-0.2841014,-0.64202666,-0.13927685,-0.5858959,0.04328067,0.18638813,-0.5763645,0.3842225,0.18669803,-0.041129045,0.06731705,-0.13081777,0.117301114,0.08072012,0.21760954,0.09664359,0.33832827,-0.6054281,0.22718456,-0.11617748,-0.21436544,0.16779053,0.054006867,-0.40362275
MB-0050,-0.49228552,-0.57777476,-0.02193957,-0.25525382,-0.5259195,-0.2144439,-0.23162574,-0.007411778,0.19238386,0.51102364,0.21803167,0.15018019,-0.260552,0.06610696,-0.30289274,-0.18874241,-0.06381479,0.60465693,-0.206239,0.019714043,0.24436653,0.3834762,-0.07384163,0.16622135,-0.2141586,0.26082414,0.16313693,-0.073384285,0.41905552,-0.21177922,0.25796035,0.0040133316,-0.06413318,-0.029439852,-0.18361202,0.00080278143,0.051220767,0.68550056,0.4617798,0.26053813,-0.14965281,0.09627354,0.18049315,-0.15058239,0.40665016,0.41441423,0.4187017,-0.36233422,0.2921031,-0.26199287,0.21160439,-0.38371748,0.27701738,0.34051377,-0.33034354,0.07938522,0.5578676,0.013903409,-0.068489835,-0.17393348,0.75883055,-0.3857228,-0.39524788,0.090895526,-0.31136942,0.2423906,0.48848796,-0.172429,0.26830834,-0.1853022,-0.2690761,0.49029428,0.41336858,0.08498866,-0.07419585,-0.42080083,-0.12833506,0.042056896,0.075457804,-0.1253492,-0.30301803,-0.38332048,-0.40156674,0.027312279,-0.23979127,-0.29456717,-0.43462124,-0.20539618,-0.30111292,0.38942719,-0.20436656,-0.31802672,0.43325868,0.1410449,0.29881614,-0.037121873,-0.45448554,0.22375521,0.27396494,-0.26935744
MB-0053,-0.74174696,0.2893028,-0.35673857,-0.39094284,-0.5073112,0.682739,-0.81371915,-0.35571444,0.69346446,0.2580007,0.37954882,0.5427372,-0.13502318,-0.13143295,0.77201134,0.5463557,0.21217191,-0.2578889,0.13171943,-0.11605243,-0.84334004,-0.89274013,-0.28994438,0.57779676,-0.7567866,0.02953095,0.16823775,-0.53709173,0.39543518,0.88257694,0.36551094,0.19174111,-0.5793726,0.7324542,-0.4582309,-0.485425,-0.8131287,0.2239835,-0.37225682,0.58093464,-0.06407736,-0.83698535,0.41240597,0.6927571,-0.3615781,-0.27768126,0.15658277,-0.18376225,-0.24367724,0.51883036,0.8768549,0.2774404,0.12276533,0.472569,-0.8832005,-0.27502584,0.6219425,-0.23669171,0.110491455,-0.64882994,-0.6392751,0.8074586,-0.024945505,-0.2379843,-0.50188386,0.3056685,-0.44617763,0.66259605,-0.53644145,-0.78579974,0.59223264,-0.2504941,-0.41550738,0.28023282,0.74735045,0.23286322,-0.19113576,0.07495623,0.17921773,-0.69360876,0.72613806,-0.094044864,0.41263098,0.2195294,-0.41079372,0.5631402,-0.37519696,-0.18423893,0.028235182,-0.7369501,0.23956925,-0.43927166,-0.18782644,0.58643484,0.91188335,0.46690035,-0.45897263,-0.3285996,-0.17661351,0.00846912
MB-0054,-0.71260506,0.21027717,0.041495495,-0.21821328,-0.5028901,0.105565935,-0.55294937,0.20166299,0.79433745,0.4242162,-0.033510223,0.47104424,-0.85276854,0.6589165,0.7958671,0.39066905,0.3582672,-0.4084388,0.52845675,0.15699223,0.00012777746,-0.12719585,0.40820655,-0.06651904,-0.6888281,-0.18032563,-0.25740606,-0.86512965,0.4596397,0.4060316,0.6793091,0.124736905,-0.7664595,0.8251626,-0.6817842,-0.8959924,-0.6884031,0.915885,-0.8508121,0.55949944,0.008203149,0.15729824,0.36346042,0.32637465,-0.70519733,-0.25061327,0.3401259,0.17738065,-0.27782768,0.25152183,0.5381408,0.39534682,-0.09600324,0.6127109,-0.7110971,-0.49092805,0.5665079,-0.20281751,0.76338154,-0.26742405,-0.7306001,0.90634006,-0.17752361,-0.3811175,-0.7223828,0.2868483,-0.45317018,0.37068602,-0.5499439,-0.867045,0.3641751,-0.109922655,0.32681578,0.7650291,0.73098856,0.2836907,0.6979291,0.05467956,0.52757573,0.6793921,0.7792692,-0.0010240152,-0.43161103,0.74927163,-0.29942808,0.750483,0.09438314,-0.54893345,-0.5209441,0.18429841,0.6498813,-0.6014947,-0.22716208,-0.25146553,0.39654893,0.53706974,0.564262,0.026428241,-0.57180965,-0.3477139
MB-0062,-0.17954889,-0.71396124,-0.8213154,0.22382808,-0.8823305,0.80616826,-0.77193034,0.8062763,0.9226234,0.659109,0.030295625,0.7872183,-0.2695453,0.49232733,0.8997761,0.5606766,0.74819833,-0.53353053,-0.28569946,0.58419394,-0.23197743,-0.33635175,0.44015384,-0.03078591,-0.39370707,-0.2916032,0.33525777,-0.3734432,0.8076211,-0.04150042,-0.008185476,-0.18889557,-0.04668817,-0.08994702,-0.8263457,-0.09865352,-0.8624209,0.47247782,-0.68650335,-0.25348565,0.21726194,-0.8703027,0.3658753,0.5572826,-0.7029096,-0.43138123,0.8744931,0.70102763,-0.57994413,0.26171646,0.8529879,0.7988549,0.768065,0.064495504,-0.8658711,-0.20256819,0.7157496,-0.48250157,0.13016537,-0.80716074,0.70906425,-0.15060991,-0.606865,0.3526988,-0.74595994,0.8253311,-0.2620686,-0.4406189,-0.83672816,-0.5774141,-0.18599167,0.17090154,-0.75032943,0.5018406,0.53671145,0.7285846,0.47252297,-0.6575469,-0.31671256,-0.695037,0.78145224,-0.70148516,-0.4646306,0.8536409,-0.6335843,0.82004654,-0.01908911,-0.78308636,-0.89425695,0.09371987,0.40539032,-0.01445093,-0.45597422,0.8225034,0.7522728,0.8406614,0.84963393,0.61810803,-0.83933246,-0.61818063
MB-0064,-0.06713526,-0.08405846,0.023337372,-0.48259932,-0.02358679,0.024161816,-0.7170305,0.4760217,0.4886432,0.14134353,0.20116869,0.5724393,-0.5515396,-0.34253603,0.035544604,-0.16260496,0.68772805,-0.4530593,-0.058152873,-0.6042668,0.28588408,-0.57672656,0.030192818,0.37498534,-0.5686611,0.4754323,0.3400257,-0.23705871,0.5120376,0.755085,0.66163814,-0.3198729,-0.72051084,0.7029595,-0.73833674,0.34658563,-0.30759647,0.738432,-0.67413926,0.64248776,-0.5094585,-0.5910019,0.6808125,0.72643214,-0.608497,-0.24096587,0.45391247,0.25919616,0.23581769,0.5006589,0.63565445,0.30521822,-0.29094598,-0.07340859,-0.004285954,-0.4409165,0.13293546,-0.6223788,0.49641705,-0.42522824,-0.35491192,0.29860497,-0.32042915,0.3998678,-0.48473284,0.3060075,-0.13479836,-0.044982903,-0.62519366,-0.22532368,0.3638283,-0.31884414,0.013724184,0.58763963,0.69692767,-0.016436312,-0.1318955,-0.3723762,-0.15200701,0.32134306,0.5399685,0.21250482,-6.7062676e-05,0.06895282,-0.7144567,0.450513,-0.41860732,-0.11801012,-0.034239717,0.16134986,0.4903711,-0.16570164,-0.02090817,-0.15070832,0.5274069,-0.39770776,0.21533774,-0.0044640154,-0.5277286,0.07882063
MB-0068,-0.37332165,-0.12049226,-0.4517414,-0.14527176,0.098611735,-0.011199854,-0.31471422,0.51959914,0.44053817,0.1041598,0.5837503,0.54424727,-0.3097532,0.25985157,-0.14698905,0.53182447,0.60442334,-0.14042307,-0.5773909,-0.19329941,-0.038596675,-0.18867934,-0.09692364,0.043412752,-0.7555828,0.13482693,-0.11667171,-0.56773174,0.13504656,0.49128783,0.4805842,0.20507945,-0.5545288,0.12071359,-0.4418052,0.27083713,-0.37591535,0.7284323,-0.20187221,0.20191067,-0.11109525,-0.39930332,0.4650276,0.5713675,-0.6939384,-0.5711572,0.41142142,0.36299115,-0.1537451,0.47035116,-0.27258098,0.43225822,-0.3599917,0.25887042,-0.41206867,-0.12907286,0.49700356,-0.18821675,0.10768937,-0.31640747,-0.5696562,0.17644328,0.012476236,0.3707265,-0.79924744,0.63241965,-0.027677234,0.054240547,-0.43886918,-0.5785453,-0.05336024,-0.40534657,0.15762144,-0.02556713,0.2789123,0.086614974,-0.20799443,0.35125583,0.3618245,-0.10510489,0.20599721,0.51039445,0.1866717,0.41785407,-0.22644457,0.55349314,-0.33246663,-0.5352287,0.36655265,-0.023053491,0.5215979,-0.000115368515,0.123842135,0.37070024,0.35729975,0.015163004,0.29679933,-0.25085413,-0.4835886,-0.06111994
MB-0112,0.04766661,-0.21931541,-0.40472758,-0.38819772,0.09862699,0.3092801,0.031202704,0.36434746,-0.051363267,0.029106185,0.37404883,0.104983255,-0.003390029,0.269059,-0.39417827,0.29983473,0.7047012,0.14160326,-0.3388472,-0.1179308,-0.033033982,0.15256238,-0.1030963,0.058219783,-0.3017257,0.40127018,-0.43748865,0.010023508,0.042323746,0.351125,0.17488125,-0.20083436,-0.59086066,-0.07681004,0.45822734,0.5142142,0.5636763,0.065828055,-0.3925903,0.551589,0.1523837,-0.46055686,-0.20850441,-0.3164054,-0.17703907,0.6114848,-0.19030371,0.029661015,-0.15782437,0.3271199,0.1316093,-0.2025282,0.01893884,0.029391758,-0.24674463,0.35024983,-0.17317407,0.2791814,0.09213214,-0.26161677,0.24243692,-0.47814852,-0.5934746,-0.43558112,-0.3224551,0.6981796,0.034813248,-0.019772198,-0.11655943,-0.5118656,-0.34064183,0.07210784,-0.12520075,-0.34904718,-0.14274861,0.22774407,0.035636626,0.3955329,0.10848587,0.06465703,0.007508382,0.0941208,0.3289386,0.017960556,-0.015105568,-0.014855254,-0.2044362,-0.33200592,0.3870892,0.450697,0.3180403,0.059338473,-0.43216276,0.15352657,0.670605,0.63561475,-0.08978539,-0.3524245,-0.33501783,-0.7315358
MB-0113,-0.6364821,0.07357068,-0.1905038,-0.56143683,0.16000961,-0.07733531,-0.35961223,-0.088081665,0.109244,0.46202537,-0.22016075,-0.22344394,0.06604418,-0.38837245,-0.36880434,-0.077540085,-0.46839786,-0.015844196,-0.2887712,0.20482509,0.113142975,0.23830342,-0.29322314,-0.54850316,-0.03938432,-0.023317525,-0.2018276,-0.5013356,0.20665875,-0.3101841,0.35755485,-0.008544423,-0.36448985,-0.1770122,-0.3925709,0.21231875,-0.16232362,0.32559085,0.1399651,0.39358094,0.14145881,-0.4589307,0.18058102,-0.6089654,0.054992467,0.0991175,0.014428832,-0.014350787,0.23824492,0.37968996,-0.115395606,-0.08553676,0.17391104,0.047329694,-0.10609102,-0.42030644,-0.040026806,-0.32850617,-0.13885057,0.048103243,-0.019442393,-0.0866037,-0.31823754,-0.20580362,0.045633215,0.038652997,-0.053112168,0.20346072,0.1282802,-0.094995394,0.1349494,-0.3709678,0.058096316,-0.025557961,-0.36144578,-0.45592898,0.13075386,-0.25867212,0.08513142,0.063365065,-0.07963816,0.52243304,-0.27223188,0.32485837,0.26180902,0.10320622,-0.08475997,-0.54308456,0.27541715,-0.55072474,-0.6963982,0.13179858,0.14452586,-0.2525639,0.14304945,0.10770048,0.1362544,-0.07228682,-0.6405059,0.43151194
